ROW | EXT_1 | EXT_2 | EXT_3 | EXT_4
55E |   -19 |     0 |    27 |    17
55F |     7 |    20 |    27 |    11
560 |    -8 |     6 |    16 |    13
561 |    31 |    -7 |    31 |    -6
562 |    -1 |     0 |    14 |    28
563 |   -19 |     9 |    10 |    19
564 |     7 |   -13 |    20 |    20
565 |    -1 |   -20 |    -7 |   -25
566 |    14 |   -17 |     6 |   -31
567 |     8 |    -7 |   -19 |    12
568 |     3 |   -17 |     0 |   -14
569 |    21 |   -32 |    -6 |    20
56A |   -23 |   -32 |    -4 |    14
56B |    16 |   -13 |   -13 |   -12
56C |    -3 |   -15 |   -13 |   -23
56D |     1 |   -24 |   -32 |    -3
56E |   -32 |    -9 |   -32 |   -32
56F |    31 |   -20 |    31 |   -25
570 |    14 |   -32 |   -17 |     1
571 |    -5 |     6 |     9 |    16
572 |    31 |   -32 |    31 |   -32
573 |   -23 |    -7 |   -24 |   -12
574 |    13 |    -2 |    -4 |   -13
575 |   -13 |    17 |   -17 |     6
576 |     0 |     9 |    -4 |    13
577 |    -9 |    17 |    24 |     2
578 |    31 |    15 |   -20 |   -20
579 |    20 |    26 |    13 |     0
57A |     6 |    20 |    20 |    11
57B |     0 |    13 |    13 |     2
57C |    26 |     4 |     4 |     7
57D |    28 |   -19 |     2 |   -32
57E |   -26 |   -26 |   -22 |    22
57F |    24 |    17 |     2 |    11
580 |    15 |     7 |   -15 |    24
581 |    -2 |    31 |     2 |   -26
582 |     9 |     0 |     6 |    19
583 |    -7 |    -5 |    -6 |     0
584 |     7 |    14 |    -1 |    13
585 |    -2 |    18 |    14 |    17
586 |   -13 |    27 |    31 |    -9
587 |     2 |     7 |     5 |    17
588 |    22 |    20 |    -5 |    24
589 |    26 |    27 |   -31 |    13
58A |     0 |    -8 |     1 |    31
58B |   -15 |    21 |   -14 |     9
58C |    13 |    14 |     5 |    26
58D |     4 |     5 |     7 |     0
58E |   -11 |    10 |    -8 |     2
58F |     6 |     1 |     1 |     6
590 |    -2 |    27 |    -1 |    13
591 |     0 |    31 |    -3 |    -7
592 |   -12 |    -4 |    12 |     7
593 |   -25 |     0 |     3 |    22
594 |   -23 |    28 |    27 |    31
595 |   -21 |   -13 |    18 |   -26
596 |   -25 |    30 |     1 |     0
597 |    -8 |     7 |    27 |    -7
598 |   -14 |   -32 |    18 |   -11
599 |   -27 |     9 |     5 |     7
59A |   -32 |    13 |     1 |    24
59B |    -8 |     6 |    31 |    13
59C |    12 |     0 |    18 |     0
59D |   -19 |     2 |    14 |   -26
59E |   -23 |    -6 |    14 |     7
59F |   -25 |    11 |    27 |    31
5A0 |    -6 |    13 |    29 |    30
5A1 |   -15 |   -26 |    13 |   -10
5A2 |    -4 |   -11 |    -2 |     1
5A3 |   -28 |     0 |    17 |    27
5A4 |   -32 |   -26 |     9 |    31
5A5 |   -13 |   -11 |     9 |    14
5A6 |     2 |   -13 |   -11 |    14
5A7 |     2 |   -32 |    -6 |    31
5A8 |     9 |   -24 |     6 |    20
5A9 |    19 |     6 |    26 |    12
5AA |   -13 |    -6 |    13 |    -3
5AB |   -11 |    -2 |    26 |     7
5AC |    -7 |   -32 |    30 |    10
5AD |    -4 |     9 |    13 |   -12
5AE |    -6 |   -32 |    -6 |    31
5AF |   -24 |   -26 |    -4 |    31
5B0 |    -8 |   -12 |    17 |    -6
5B1 |   -19 |    -6 |    26 |    20
5B2 |     1 |     7 |    30 |     4
5B3 |    -5 |    -3 |    -7 |     7
5B4 |   -10 |    25 |    22 |   -11
5B5 |    -6 |     1 |    19 |    22
5B6 |    10 |   -29 |    24 |    26
5B7 |   -32 |    25 |    24 |    26
5B8 |    -8 |    31 |    11 |   -13
5B9 |    -8 |    31 |    -9 |     7
5BA |   -32 |    -6 |   -32 |     2
5BB |   -10 |   -19 |    31 |    20
5BC |   -29 |    -5 |    31 |    31
5BD |     3 |    20 |    13 |   -17
5BE |    12 |    10 |    11 |    13
5BF |     7 |    23 |     1 |    22
5C0 |     7 |   -12 |    31 |    17
5C1 |   -14 |    -1 |     7 |    -4
5C2 |   -19 |    23 |    18 |     0
5C3 |   -32 |    31 |    14 |    -7
5C4 |   -23 |   -16 |   -21 |     9
5C5 |   -18 |    -1 |   -12 |    17
5C6 |   -14 |    -3 |    12 |    31
5C7 |    18 |     7 |    12 |    26
5C8 |   -32 |     8 |    29 |     2
5C9 |    14 |    31 |    31 |    -9
5CA |    16 |    20 |   -32 |    30
5CB |     1 |   -12 |    14 |    22
5CC |   -32 |    14 |    20 |     2
5CD |     5 |    16 |   -10 |     2
5CE |     3 |   -18 |   -25 |     7
5CF |    -5 |    -5 |    -3 |   -23
5D0 |   -25 |   -23 |   -32 |   -10
5D1 |    31 |    -3 |    27 |    -3
5D2 |    31 |     5 |    31 |    -3
5D3 |    31 |   -29 |    23 |   -25
5D4 |    31 |   -32 |    31 |   -32
5D5 |    23 |   -18 |   -25 |   -14
5D6 |    27 |   -25 |     7 |   -18
5D7 |   -18 |   -25 |   -25 |   -14
5D8 |     1 |   -14 |    -8 |   -14
5D9 |   -12 |   -10 |   -19 |    -8
5DA |    29 |   -12 |     3 |    -1
5DB |     1 |     3 |   -27 |    -8
5DC |   -19 |     7 |   -10 |    16
5DD |     4 |   -10 |     1 |    -6
5DE |    -7 |   -25 |   -10 |   -13
5DF |   -24 |     8 |    20 |   -13
5E0 |   -32 |   -10 |    21 |    13
5E1 |   -32 |   -21 |    14 |    -6
5E2 |   -32 |     1 |   -25 |     6
5E3 |   -17 |     3 |    21 |    -7
5E4 |     4 |    10 |     3 |     0
5E5 |   -17 |    16 |    12 |   -26
5E6 |   -26 |     5 |    -1 |   -20
5E7 |   -13 |     3 |     8 |    31
5E8 |   -19 |    27 |    -6 |    31
5E9 |   -32 |    -1 |   -31 |   -15
5EA |   -32 |    -6 |     5 |    -9
5EB |   -15 |   -12 |    21 |   -28
5EC |    -2 |    13 |    -1 |    13
5ED |    -2 |     7 |    12 |    -2
5EE |   -13 |    17 |   -29 |    -2
5EF |    11 |   -30 |   -18 |   -11
5F0 |    -6 |    26 |    -8 |   -32
5F1 |    20 |     2 |    -1 |    -4
5F2 |   -22 |     4 |    31 |     0
5F3 |    20 |     4 |    -8 |     0
5F4 |   -32 |     4 |    -6 |     0
5F5 |     7 |     4 |    -6 |     0
5F6 |    13 |     4 |    16 |     0
5F7 |    31 |     4 |    -8 |     0
5F8 |   -13 |     4 |    -3 |     0
5F9 |     9 |     4 |    -8 |     0
5FA |    20 |     4 |    29 |     0
5FB |   -32 |     1 |   -11 |    -1
5FC |    11 |     1 |   -13 |    -1
5FD |    -4 |     1 |   -32 |    -1
5FE |    24 |     1 |    -4 |    -1
5FF |    -7 |     1 |   -32 |    -1
