ADDR | HEX  |       BINARY       | UNSIGNED |  S10 |  S12 |  S16
638  | 0B7E | 0000_1011_0111_1110 |     2942 | -130 | -1154 | 2942
639  | 78FE | 0111_1000_1111_1110 |    30974 |  254 | -1794 | 30974
63A  | 0064 | 0000_0000_0110_0100 |      100 |  100 |  100 |  100
63B  | 7BA7 | 0111_1011_1010_0111 |    31655 |  -89 | -1113 | 31655
63C  | 0B45 | 0000_1011_0100_0101 |     2885 | -187 | -1211 | 2885
63D  | 0060 | 0000_0000_0110_0000 |       96 |   96 |   96 |   96
63E  | 03D9 | 0000_0011_1101_1001 |      985 |  -39 |  985 |  985
63F  | 08BF | 0000_1000_1011_1111 |     2239 |  191 | -1857 | 2239
640  | 08F9 | 0000_1000_1111_1001 |     2297 |  249 | -1799 | 2297
641  | 7C85 | 0111_1100_1000_0101 |    31877 |  133 | -891 | 31877
642  | 0BC6 | 0000_1011_1100_0110 |     3014 |  -58 | -1082 | 3014
643  | 07BF | 0000_0111_1011_1111 |     1983 |  -65 | 1983 | 1983
644  | 0BDB | 0000_1011_1101_1011 |     3035 |  -37 | -1061 | 3035
645  | 0463 | 0000_0100_0110_0011 |     1123 |   99 | 1123 | 1123
646  | 0BE0 | 0000_1011_1110_0000 |     3040 |  -32 | -1056 | 3040
647  | 7C9B | 0111_1100_1001_1011 |    31899 |  155 | -869 | 31899
648  | 07A6 | 0000_0111_1010_0110 |     1958 |  -90 | 1958 | 1958
649  | 7B26 | 0111_1011_0010_0110 |    31526 | -218 | -1242 | 31526
64A  | 0405 | 0000_0100_0000_0101 |     1029 |    5 | 1029 | 1029
64B  | 7F99 | 0111_1111_1001_1001 |    32665 | -103 | -103 | 32665
64C  | 0425 | 0000_0100_0010_0101 |     1061 |   37 | 1061 | 1061
64D  | 08C5 | 0000_1000_1100_0101 |     2245 |  197 | -1851 | 2245
64E  | 0846 | 0000_1000_0100_0110 |     2118 |   70 | -1978 | 2118
64F  | 7C80 | 0111_1100_1000_0000 |    31872 |  128 | -896 | 31872
650  | 03DB | 0000_0011_1101_1011 |      987 |  -37 |  987 |  987
651  | 0B3A | 0000_1011_0011_1010 |     2874 | -198 | -1222 | 2874
652  | 7B79 | 0111_1011_0111_1001 |    31609 | -135 | -1159 | 31609
653  | 7F66 | 0111_1111_0110_0110 |    32614 | -154 | -154 | 32614
654  | 045B | 0000_0100_0101_1011 |     1115 |   91 | 1115 | 1115
655  | 0487 | 0000_0100_1000_0111 |     1159 |  135 | 1159 | 1159
656  | 789A | 0111_1000_1001_1010 |    30874 |  154 | -1894 | 30874
657  | 0B9A | 0000_1011_1001_1010 |     2970 | -102 | -1126 | 2970
658  | 7FDE | 0111_1111_1101_1110 |    32734 |  -34 |  -34 | 32734
659  | 78E4 | 0111_1000_1110_0100 |    30948 |  228 | -1820 | 30948
65A  | 0BF9 | 0000_1011_1111_1001 |     3065 |   -7 | -1031 | 3065
65B  | 7C5A | 0111_1100_0101_1010 |    31834 |   90 | -934 | 31834
65C  | 0786 | 0000_0111_1000_0110 |     1926 | -122 | 1926 | 1926
65D  | 7FDE | 0111_1111_1101_1110 |    32734 |  -34 |  -34 | 32734
65E  | 007B | 0000_0000_0111_1011 |      123 |  123 |  123 |  123
65F  | 7F27 | 0111_1111_0010_0111 |    32551 | -217 | -217 | 32551
660  | 00DC | 0000_0000_1101_1100 |      220 |  220 |  220 |  220
661  | 7C19 | 0111_1100_0001_1001 |    31769 |   25 | -999 | 31769
662  | 03E0 | 0000_0011_1110_0000 |      992 |  -32 |  992 |  992
663  | 04E5 | 0000_0100_1110_0101 |     1253 |  229 | 1253 | 1253
664  | 087F | 0000_1000_0111_1111 |     2175 |  127 | -1921 | 2175
665  | 007F | 0000_0000_0111_1111 |      127 |  127 |  127 |  127
666  | 003B | 0000_0000_0011_1011 |       59 |   59 |   59 |   59
667  | 0762 | 0000_0111_0110_0010 |     1890 | -158 | 1890 | 1890
668  | 0342 | 0000_0011_0100_0010 |      834 | -190 |  834 |  834
669  | 7B3B | 0111_1011_0011_1011 |    31547 | -197 | -1221 | 31547
66A  | 0766 | 0000_0111_0110_0110 |     1894 | -154 | 1894 | 1894
66B  | 7BBA | 0111_1011_1011_1010 |    31674 |  -70 | -1094 | 31674
66C  | 04C4 | 0000_0100_1100_0100 |     1220 |  196 | 1220 | 1220
66D  | 0079 | 0000_0000_0111_1001 |      121 |  121 |  121 |  121
66E  | 7B5F | 0111_1011_0101_1111 |    31583 | -161 | -1185 | 31583
66F  | 009F | 0000_0000_1001_1111 |      159 |  159 |  159 |  159
670  | 0764 | 0000_0111_0110_0100 |     1892 | -156 | 1892 | 1892
671  | 00FA | 0000_0000_1111_1010 |      250 |  250 |  250 |  250
672  | 78FF | 0111_1000_1111_1111 |    30975 |  255 | -1793 | 30975
673  | 78E5 | 0111_1000_1110_0101 |    30949 |  229 | -1819 | 30949
674  | 0380 | 0000_0011_1000_0000 |      896 | -128 |  896 |  896
675  | 7FF9 | 0111_1111_1111_1001 |    32761 |   -7 |   -7 | 32761
676  | 04A1 | 0000_0100_1010_0001 |     1185 |  161 | 1185 | 1185
677  | 077F | 0000_0111_0111_1111 |     1919 | -129 | 1919 | 1919
678  | 00FB | 0000_0000_1111_1011 |      251 |  251 |  251 |  251
679  | 7C20 | 0111_1100_0010_0000 |    31776 |   32 | -992 | 31776
67A  | 781F | 0111_1000_0001_1111 |    30751 |   31 | -2017 | 30751
67B  | 0B83 | 0000_1011_1000_0011 |     2947 | -125 | -1149 | 2947
67C  | 08A7 | 0000_1000_1010_0111 |     2215 |  167 | -1881 | 2215
67D  | 0325 | 0000_0011_0010_0101 |      805 | -219 |  805 |  805
67E  | 7F20 | 0111_1111_0010_0000 |    32544 | -224 | -224 | 32544
67F  | 7F3E | 0111_1111_0011_1110 |    32574 | -194 | -194 | 32574
680  | 0721 | 0000_0111_0010_0001 |     1825 | -223 | 1825 | 1825
681  | 7807 | 0111_1000_0000_0111 |    30727 |    7 | -2041 | 30727
682  | 7F7D | 0111_1111_0111_1101 |    32637 | -131 | -131 | 32637
683  | 08FB | 0000_1000_1111_1011 |     2299 |  251 | -1797 | 2299
684  | 7BDB | 0111_1011_1101_1011 |    31707 |  -37 | -1061 | 31707
685  | 7B79 | 0111_1011_0111_1001 |    31609 | -135 | -1159 | 31609
686  | 0064 | 0000_0000_0110_0100 |      100 |  100 |  100 |  100
687  | 7FA7 | 0111_1111_1010_0111 |    32679 |  -89 |  -89 | 32679
688  | 00A0 | 0000_0000_1010_0000 |      160 |  160 |  160 |  160
689  | 7CFA | 0111_1100_1111_1010 |    31994 |  250 | -774 | 31994
68A  | 04DB | 0000_0100_1101_1011 |     1243 |  219 | 1243 | 1243
68B  | 00A0 | 0000_0000_1010_0000 |      160 |  160 |  160 |  160
68C  | 00E6 | 0000_0000_1110_0110 |      230 |  230 |  230 |  230
68D  | 0BE0 | 0000_1011_1110_0000 |     3040 |  -32 | -1056 | 3040
68E  | 0346 | 0000_0011_0100_0110 |      838 | -186 |  838 |  838
68F  | 7FC3 | 0111_1111_1100_0011 |    32707 |  -61 |  -61 | 32707
690  | 08BC | 0000_1000_1011_1100 |     2236 |  188 | -1860 | 2236
691  | 03DC | 0000_0011_1101_1100 |      988 |  -36 |  988 |  988
692  | 007D | 0000_0000_0111_1101 |      125 |  125 |  125 |  125
693  | 077E | 0000_0111_0111_1110 |     1918 | -130 | 1918 | 1918
694  | 03DD | 0000_0011_1101_1101 |      989 |  -35 |  989 |  989
695  | 7846 | 0111_1000_0100_0110 |    30790 |   70 | -1978 | 30790
696  | 0847 | 0000_1000_0100_0111 |     2119 |   71 | -1977 | 2119
697  | 78DF | 0111_1000_1101_1111 |    30943 |  223 | -1825 | 30943
698  | 0BBA | 0000_1011_1011_1010 |     3002 |  -70 | -1094 | 3002
699  | 049F | 0000_0100_1001_1111 |     1183 |  159 | 1183 | 1183
69A  | 0342 | 0000_0011_0100_0010 |      834 | -190 |  834 |  834
69B  | 003F | 0000_0000_0011_1111 |       63 |   63 |   63 |   63
69C  | 0019 | 0000_0000_0001_1001 |       25 |   25 |   25 |   25
69D  | 0B7F | 0000_1011_0111_1111 |     2943 | -129 | -1153 | 2943
69E  | 001D | 0000_0000_0001_1101 |       29 |   29 |   29 |   29
69F  | 78DB | 0111_1000_1101_1011 |    30939 |  219 | -1829 | 30939
6A0  | 0025 | 0000_0000_0010_0101 |       37 |   37 |   37 |   37
6A1  | 04DB | 0000_0100_1101_1011 |     1243 |  219 | 1243 | 1243
6A2  | 78FC | 0111_1000_1111_1100 |    30972 |  252 | -1796 | 30972
6A3  | 0365 | 0000_0011_0110_0101 |      869 | -155 |  869 |  869
6A4  | 0364 | 0000_0011_0110_0100 |      868 | -156 |  868 |  868
6A5  | 7F5A | 0111_1111_0101_1010 |    32602 | -166 | -166 | 32602
6A6  | 081A | 0000_1000_0001_1010 |     2074 |   26 | -2022 | 2074
6A7  | 7859 | 0111_1000_0101_1001 |    30809 |   89 | -1959 | 30809
6A8  | 7F27 | 0111_1111_0010_0111 |    32551 | -217 | -217 | 32551
6A9  | 041D | 0000_0100_0001_1101 |     1053 |   29 | 1053 | 1053
6AA  | 0BFC | 0000_1011_1111_1100 |     3068 |   -4 | -1028 | 3068
6AB  | 78C3 | 0111_1000_1100_0011 |    30915 |  195 | -1853 | 30915
6AC  | 03E2 | 0000_0011_1110_0010 |      994 |  -30 |  994 |  994
6AD  | 7B67 | 0111_1011_0110_0111 |    31591 | -153 | -1177 | 31591
6AE  | 033A | 0000_0011_0011_1010 |      826 | -198 |  826 |  826
6AF  | 0B9B | 0000_1011_1001_1011 |     2971 | -101 | -1125 | 2971
6B0  | 003F | 0000_0000_0011_1111 |       63 |   63 |   63 |   63
6B1  | 07BF | 0000_0111_1011_1111 |     1983 |  -65 | 1983 | 1983
6B2  | 0324 | 0000_0011_0010_0100 |      804 | -220 |  804 |  804
6B3  | 04FC | 0000_0100_1111_1100 |     1276 |  252 | 1276 | 1276
6B4  | 0BBD | 0000_1011_1011_1101 |     3005 |  -67 | -1091 | 3005
6B5  | 08BD | 0000_1000_1011_1101 |     2237 |  189 | -1859 | 2237
6B6  | 781E | 0111_1000_0001_1110 |    30750 |   30 | -2018 | 30750
6B7  | 0406 | 0000_0100_0000_0110 |     1030 |    6 | 1030 | 1030
6B8  | 07A1 | 0000_0111_1010_0001 |     1953 |  -95 | 1953 | 1953
6B9  | 7C9A | 0111_1100_1001_1010 |    31898 |  154 | -870 | 31898
6BA  | 7C3D | 0111_1100_0011_1101 |    31805 |   61 | -963 | 31805
6BB  | 7CE4 | 0111_1100_1110_0100 |    31972 |  228 | -796 | 31972
6BC  | 033B | 0000_0011_0011_1011 |      827 | -197 |  827 |  827
6BD  | 7F9C | 0111_1111_1001_1100 |    32668 | -100 | -100 | 32668
6BE  | 0762 | 0000_0111_0110_0010 |     1890 | -158 | 1890 | 1890
6BF  | 035E | 0000_0011_0101_1110 |      862 | -162 |  862 |  862
6C0  | 08E4 | 0000_1000_1110_0100 |     2276 |  228 | -1820 | 2276
6C1  | 7800 | 0111_1000_0000_0000 |    30720 |    0 | -2048 | 30720
6C2  | 7FF9 | 0111_1111_1111_1001 |    32761 |   -7 |   -7 | 32761
6C3  | 0822 | 0000_1000_0010_0010 |     2082 |   34 | -2014 | 2082
6C4  | 0746 | 0000_0111_0100_0110 |     1862 | -186 | 1862 | 1862
6C5  | 78C0 | 0111_1000_1100_0000 |    30912 |  192 | -1856 | 30912
6C6  | 08C3 | 0000_1000_1100_0011 |     2243 |  195 | -1853 | 2243
6C7  | 7B86 | 0111_1011_1000_0110 |    31622 | -122 | -1146 | 31622
6C8  | 7CDF | 0111_1100_1101_1111 |    31967 |  223 | -801 | 31967
6C9  | 04F9 | 0000_0100_1111_1001 |     1273 |  249 | 1273 | 1273
6CA  | 7BDA | 0111_1011_1101_1010 |    31706 |  -38 | -1062 | 31706
6CB  | 087B | 0000_1000_0111_1011 |     2171 |  123 | -1925 | 2171
6CC  | 7F79 | 0111_1111_0111_1001 |    32633 | -135 | -135 | 32633
6CD  | 7C06 | 0111_1100_0000_0110 |    31750 |    6 | -1018 | 31750
6CE  | 0B61 | 0000_1011_0110_0001 |     2913 | -159 | -1183 | 2913
6CF  | 08C0 | 0000_1000_1100_0000 |     2240 |  192 | -1856 | 2240
6D0  | 789A | 0111_1000_1001_1010 |    30874 |  154 | -1894 | 30874
6D1  | 00A5 | 0000_0000_1010_0101 |      165 |  165 |  165 |  165
6D2  | 7CA1 | 0111_1100_1010_0001 |    31905 |  161 | -863 | 31905
6D3  | 7B5F | 0111_1011_0101_1111 |    31583 | -161 | -1185 | 31583
6D4  | 08A1 | 0000_1000_1010_0001 |     2209 |  161 | -1887 | 2209
6D5  | 78BE | 0111_1000_1011_1110 |    30910 |  190 | -1858 | 30910
6D6  | 0B7E | 0000_1011_0111_1110 |     2942 | -130 | -1154 | 2942
6D7  | 0463 | 0000_0100_0110_0011 |     1123 |   99 | 1123 | 1123
6D8  | 0BC6 | 0000_1011_1100_0110 |     3014 |  -58 | -1082 | 3014
6D9  | 0B5C | 0000_1011_0101_1100 |     2908 | -164 | -1188 | 2908
6DA  | 0802 | 0000_1000_0000_0010 |     2050 |    2 | -2046 | 2050
6DB  | 0322 | 0000_0011_0010_0010 |      802 | -222 |  802 |  802
6DC  | 0BE5 | 0000_1011_1110_0101 |     3045 |  -27 | -1051 | 3045
6DD  | 7F45 | 0111_1111_0100_0101 |    32581 | -187 | -187 | 32581
6DE  | 7C5A | 0111_1100_0101_1010 |    31834 |   90 | -934 | 31834
6DF  | 789F | 0111_1000_1001_1111 |    30879 |  159 | -1889 | 30879
6E0  | 03DD | 0000_0011_1101_1101 |      989 |  -35 |  989 |  989
6E1  | 7883 | 0111_1000_1000_0011 |    30851 |  131 | -1917 | 30851
6E2  | 7F5E | 0111_1111_0101_1110 |    32606 | -162 | -162 | 32606
6E3  | 7F5A | 0111_1111_0101_1010 |    32602 | -166 | -166 | 32602
6E4  | 045D | 0000_0100_0101_1101 |     1117 |   93 | 1117 | 1117
6E5  | 08A2 | 0000_1000_1010_0010 |     2210 |  162 | -1886 | 2210
6E6  | 7C1C | 0111_1100_0001_1100 |    31772 |   28 | -996 | 31772
6E7  | 78E1 | 0111_1000_1110_0001 |    30945 |  225 | -1823 | 30945
6E8  | 78FE | 0111_1000_1111_1110 |    30974 |  254 | -1794 | 30974
6E9  | 089A | 0000_1000_1001_1010 |     2202 |  154 | -1894 | 2202
6EA  | 0B59 | 0000_1011_0101_1001 |     2905 | -167 | -1191 | 2905
6EB  | 07FD | 0000_0111_1111_1101 |     2045 |   -3 | 2045 | 2045
6EC  | 0361 | 0000_0011_0110_0001 |      865 | -159 |  865 |  865
6ED  | 781E | 0111_1000_0001_1110 |    30750 |   30 | -2018 | 30750
6EE  | 0BE2 | 0000_1011_1110_0010 |     3042 |  -30 | -1054 | 3042
6EF  | 78C4 | 0111_1000_1100_0100 |    30916 |  196 | -1852 | 30916
6F0  | 081F | 0000_1000_0001_1111 |     2079 |   31 | -2017 | 2079
6F1  | 7CDD | 0111_1100_1101_1101 |    31965 |  221 | -803 | 31965
6F2  | 7BE2 | 0111_1011_1110_0010 |    31714 |  -30 | -1054 | 31714
6F3  | 7C7E | 0111_1100_0111_1110 |    31870 |  126 | -898 | 31870
6F4  | 7BDD | 0111_1011_1101_1101 |    31709 |  -35 | -1059 | 31709
6F5  | 00A3 | 0000_0000_1010_0011 |      163 |  163 |  163 |  163
6F6  | 07E1 | 0000_0111_1110_0001 |     2017 |  -31 | 2017 | 2017
6F7  | 7FA7 | 0111_1111_1010_0111 |    32679 |  -89 |  -89 | 32679
6F8  | 0BFE | 0000_1011_1111_1110 |     3070 |   -2 | -1026 | 3070
6F9  | 0323 | 0000_0011_0010_0011 |      803 | -221 |  803 |  803
6FA  | 7B20 | 0111_1011_0010_0000 |    31520 | -224 | -1248 | 31520
6FB  | 7C3A | 0111_1100_0011_1010 |    31802 |   58 | -966 | 31802
6FC  | 78C4 | 0111_1000_1100_0100 |    30916 |  196 | -1852 | 30916
6FD  | 7BA5 | 0111_1011_1010_0101 |    31653 |  -91 | -1115 | 31653
6FE  | 78A1 | 0111_1000_1010_0001 |    30881 |  161 | -1887 | 30881
6FF  | 07BD | 0000_0111_1011_1101 |     1981 |  -67 | 1981 | 1981
700  | 077F | 0000_0111_0111_1111 |     1919 | -129 | 1919 | 1919
701  | 0BA2 | 0000_1011_1010_0010 |     2978 |  -94 | -1118 | 2978
702  | 7F65 | 0111_1111_0110_0101 |    32613 | -155 | -155 | 32613
703  | 0039 | 0000_0000_0011_1001 |       57 |   57 |   57 |   57
704  | 0022 | 0000_0000_0010_0010 |       34 |   34 |   34 |   34
705  | 03DD | 0000_0011_1101_1101 |      989 |  -35 |  989 |  989
706  | 78E4 | 0111_1000_1110_0100 |    30948 |  228 | -1820 | 30948
707  | 0726 | 0000_0111_0010_0110 |     1830 | -218 | 1830 | 1830
708  | 7FE2 | 0111_1111_1110_0010 |    32738 |  -30 |  -30 | 32738
709  | 7BE6 | 0111_1011_1110_0110 |    31718 |  -26 | -1050 | 31718
70A  | 04DA | 0000_0100_1101_1010 |     1242 |  218 | 1242 | 1242
70B  | 0444 | 0000_0100_0100_0100 |     1092 |   68 | 1092 | 1092
70C  | 7C5E | 0111_1100_0101_1110 |    31838 |   94 | -930 | 31838
70D  | 7F83 | 0111_1111_1000_0011 |    32643 | -125 | -125 | 32643
70E  | 7C19 | 0111_1100_0001_1001 |    31769 |   25 | -999 | 31769
70F  | 7BDB | 0111_1011_1101_1011 |    31707 |  -37 | -1061 | 31707
710  | 0B9D | 0000_1011_1001_1101 |     2973 |  -99 | -1123 | 2973
711  | 7F9C | 0111_1111_1001_1100 |    32668 | -100 | -100 | 32668
712  | 0B5B | 0000_1011_0101_1011 |     2907 | -165 | -1189 | 2907
713  | 78C2 | 0111_1000_1100_0010 |    30914 |  194 | -1854 | 30914
714  | 0B45 | 0000_1011_0100_0101 |     2885 | -187 | -1211 | 2885
715  | 009D | 0000_0000_1001_1101 |      157 |  157 |  157 |  157
716  | 08C3 | 0000_1000_1100_0011 |     2243 |  195 | -1853 | 2243
717  | 7F80 | 0111_1111_1000_0000 |    32640 | -128 | -128 | 32640
718  | 7BA3 | 0111_1011_1010_0011 |    31651 |  -93 | -1117 | 31651
719  | 7C1C | 0111_1100_0001_1100 |    31772 |   28 | -996 | 31772
71A  | 00F9 | 0000_0000_1111_1001 |      249 |  249 |  249 |  249
71B  | 7FC3 | 0111_1111_1100_0011 |    32707 |  -61 |  -61 | 32707
71C  | 7CDF | 0111_1100_1101_1111 |    31967 |  223 | -801 | 31967
71D  | 7CE0 | 0111_1100_1110_0000 |    31968 |  224 | -800 | 31968
71E  | 079B | 0000_0111_1001_1011 |     1947 | -101 | 1947 | 1947
71F  | 00BE | 0000_0000_1011_1110 |      190 |  190 |  190 |  190
720  | 7C7A | 0111_1100_0111_1010 |    31866 |  122 | -902 | 31866
721  | 7FFF | 0111_1111_1111_1111 |    32767 |   -1 |   -1 | 32767
722  | 7C07 | 0111_1100_0000_0111 |    31751 |    7 | -1017 | 31751
723  | 7B40 | 0111_1011_0100_0000 |    31552 | -192 | -1216 | 31552
724  | 049E | 0000_0100_1001_1110 |     1182 |  158 | 1182 | 1182
725  | 7BFE | 0111_1011_1111_1110 |    31742 |   -2 | -1026 | 31742
726  | 04FD | 0000_0100_1111_1101 |     1277 |  253 | 1277 | 1277
727  | 7CC0 | 0111_1100_1100_0000 |    31936 |  192 | -832 | 31936
728  | 0359 | 0000_0011_0101_1001 |      857 | -167 |  857 |  857
729  | 0B42 | 0000_1011_0100_0010 |     2882 | -190 | -1214 | 2882
72A  | 081C | 0000_1000_0001_1100 |     2076 |   28 | -2020 | 2076
72B  | 7F47 | 0111_1111_0100_0111 |    32583 | -185 | -185 | 32583
72C  | 78FC | 0111_1000_1111_1100 |    30972 |  252 | -1796 | 30972
72D  | 007B | 0000_0000_0111_1011 |      123 |  123 |  123 |  123
72E  | 043B | 0000_0100_0011_1011 |     1083 |   59 | 1083 | 1083
72F  | 7C9C | 0111_1100_1001_1100 |    31900 |  156 | -868 | 31900
730  | 0323 | 0000_0011_0010_0011 |      803 | -221 |  803 |  803
731  | 00F9 | 0000_0000_1111_1001 |      249 |  249 |  249 |  249
732  | 0426 | 0000_0100_0010_0110 |     1062 |   38 | 1062 | 1062
733  | 00E3 | 0000_0000_1110_0011 |      227 |  227 |  227 |  227
734  | 7B25 | 0111_1011_0010_0101 |    31525 | -219 | -1243 | 31525
735  | 7843 | 0111_1000_0100_0011 |    30787 |   67 | -1981 | 30787
736  | 78BA | 0111_1000_1011_1010 |    30906 |  186 | -1862 | 30906
737  | 0041 | 0000_0000_0100_0001 |       65 |   65 |   65 |   65
738  | 7B42 | 0111_1011_0100_0010 |    31554 | -190 | -1214 | 31554
739  | 07DA | 0000_0111_1101_1010 |     2010 |  -38 | 2010 | 2010
73A  | 03DD | 0000_0011_1101_1101 |      989 |  -35 |  989 |  989
73B  | 0B21 | 0000_1011_0010_0001 |     2849 | -223 | -1247 | 2849
73C  | 03E1 | 0000_0011_1110_0001 |      993 |  -31 |  993 |  993
73D  | 0400 | 0000_0100_0000_0000 |     1024 |    0 | 1024 | 1024
73E  | 0B59 | 0000_1011_0101_1001 |     2905 | -167 | -1191 | 2905
73F  | 0019 | 0000_0000_0001_1001 |       25 |   25 |   25 |   25
740  | 7821 | 0111_1000_0010_0001 |    30753 |   33 | -2015 | 30753
741  | 7FC5 | 0111_1111_1100_0101 |    32709 |  -59 |  -59 | 32709
742  | 7FA3 | 0111_1111_1010_0011 |    32675 |  -93 |  -93 | 32675
743  | 7880 | 0111_1000_1000_0000 |    30848 |  128 | -1920 | 30848
744  | 7C22 | 0111_1100_0010_0010 |    31778 |   34 | -990 | 31778
745  | 7CA1 | 0111_1100_1010_0001 |    31905 |  161 | -863 | 31905
746  | 789F | 0111_1000_1001_1111 |    30879 |  159 | -1889 | 30879
747  | 787B | 0111_1000_0111_1011 |    30843 |  123 | -1925 | 30843
748  | 003B | 0000_0000_0011_1011 |       59 |   59 |   59 |   59
749  | 033A | 0000_0011_0011_1010 |      826 | -198 |  826 |  826
74A  | 787D | 0111_1000_0111_1101 |    30845 |  125 | -1923 | 30845
74B  | 0764 | 0000_0111_0110_0100 |     1892 | -156 | 1892 | 1892
74C  | 7C24 | 0111_1100_0010_0100 |    31780 |   36 | -988 | 31780
74D  | 007B | 0000_0000_0111_1011 |      123 |  123 |  123 |  123
74E  | 7F46 | 0111_1111_0100_0110 |    32582 | -186 | -186 | 32582
74F  | 089E | 0000_1000_1001_1110 |     2206 |  158 | -1890 | 2206
750  | 7B9A | 0111_1011_1001_1010 |    31642 | -102 | -1126 | 31642
751  | 0784 | 0000_0111_1000_0100 |     1924 | -124 | 1924 | 1924
752  | 0B5B | 0000_1011_0101_1011 |     2907 | -165 | -1189 | 2907
753  | 08FD | 0000_1000_1111_1101 |     2301 |  253 | -1795 | 2301
754  | 0B64 | 0000_1011_0110_0100 |     2916 | -156 | -1180 | 2916
755  | 78A3 | 0111_1000_1010_0011 |    30883 |  163 | -1885 | 30883
756  | 0363 | 0000_0011_0110_0011 |      867 | -157 |  867 |  867
757  | 7B39 | 0111_1011_0011_1001 |    31545 | -199 | -1223 | 31545
758  | 03C5 | 0000_0011_1100_0101 |      965 |  -59 |  965 |  965
759  | 0819 | 0000_1000_0001_1001 |     2073 |   25 | -2023 | 2073
75A  | 0882 | 0000_1000_1000_0010 |     2178 |  130 | -1918 | 2178
75B  | 0761 | 0000_0111_0110_0001 |     1889 | -159 | 1889 | 1889
75C  | 03BF | 0000_0011_1011_1111 |      959 |  -65 |  959 |  959
75D  | 0B39 | 0000_1011_0011_1001 |     2873 | -199 | -1223 | 2873
75E  | 7C47 | 0111_1100_0100_0111 |    31815 |   71 | -953 | 31815
75F  | 07E4 | 0000_0111_1110_0100 |     2020 |  -28 | 2020 | 2020
760  | 7846 | 0111_1000_0100_0110 |    30790 |   70 | -1978 | 30790
761  | 04A0 | 0000_0100_1010_0000 |     1184 |  160 | 1184 | 1184
762  | 7F3B | 0111_1111_0011_1011 |    32571 | -197 | -197 | 32571
763  | 0080 | 0000_0000_1000_0000 |      128 |  128 |  128 |  128
764  | 7867 | 0111_1000_0110_0111 |    30823 |  103 | -1945 | 30823
765  | 783D | 0111_1000_0011_1101 |    30781 |   61 | -1987 | 30781
766  | 0019 | 0000_0000_0001_1001 |       25 |   25 |   25 |   25
767  | 07FF | 0000_0111_1111_1111 |     2047 |   -1 | 2047 | 2047
768  | 085D | 0000_1000_0101_1101 |     2141 |   93 | -1955 | 2141
769  | 04FE | 0000_0100_1111_1110 |     1278 |  254 | 1278 | 1278
76A  | 7FFE | 0111_1111_1111_1110 |    32766 |   -2 |   -2 | 32766
76B  | 0BA0 | 0000_1011_1010_0000 |     2976 |  -96 | -1120 | 2976
76C  | 07A1 | 0000_0111_1010_0001 |     1953 |  -95 | 1953 | 1953
76D  | 007A | 0000_0000_0111_1010 |      122 |  122 |  122 |  122
76E  | 7CA1 | 0111_1100_1010_0001 |    31905 |  161 | -863 | 31905
76F  | 7FA4 | 0111_1111_1010_0100 |    32676 |  -92 |  -92 | 32676
770  | 7F27 | 0111_1111_0010_0111 |    32551 | -217 | -217 | 32551
771  | 0803 | 0000_1000_0000_0011 |     2051 |    3 | -2045 | 2051
772  | 7882 | 0111_1000_1000_0010 |    30850 |  130 | -1918 | 30850
773  | 0861 | 0000_1000_0110_0001 |     2145 |   97 | -1951 | 2145
774  | 0725 | 0000_0111_0010_0101 |     1829 | -219 | 1829 | 1829
775  | 7B82 | 0111_1011_1000_0010 |    31618 | -126 | -1150 | 31618
776  | 04E7 | 0000_0100_1110_0111 |     1255 |  231 | 1255 | 1255
777  | 7822 | 0111_1000_0010_0010 |    30754 |   34 | -2014 | 30754
778  | 08DF | 0000_1000_1101_1111 |     2271 |  223 | -1825 | 2271
779  | 7C39 | 0111_1100_0011_1001 |    31801 |   57 | -967 | 31801
77A  | 03BF | 0000_0011_1011_1111 |      959 |  -65 |  959 |  959
77B  | 7F82 | 0111_1111_1000_0010 |    32642 | -126 | -126 | 32642
77C  | 0B7D | 0000_1011_0111_1101 |     2941 | -131 | -1155 | 2941
77D  | 7B7E | 0111_1011_0111_1110 |    31614 | -130 | -1154 | 31614
77E  | 7C82 | 0111_1100_1000_0010 |    31874 |  130 | -894 | 31874
77F  | 0BBF | 0000_1011_1011_1111 |     3007 |  -65 | -1089 | 3007
780  | 0446 | 0000_0100_0100_0110 |     1094 |   70 | 1094 | 1094
781  | 0327 | 0000_0011_0010_0111 |      807 | -217 |  807 |  807
782  | 7FBD | 0111_1111_1011_1101 |    32701 |  -67 |  -67 | 32701
783  | 7BDF | 0111_1011_1101_1111 |    31711 |  -33 | -1057 | 31711
784  | 07E1 | 0000_0111_1110_0001 |     2017 |  -31 | 2017 | 2017
785  | 089B | 0000_1000_1001_1011 |     2203 |  155 | -1893 | 2203
786  | 0020 | 0000_0000_0010_0000 |       32 |   32 |   32 |   32
787  | 7B7A | 0111_1011_0111_1010 |    31610 | -134 | -1158 | 31610
788  | 08E3 | 0000_1000_1110_0011 |     2275 |  227 | -1821 | 2275
789  | 0B5F | 0000_1011_0101_1111 |     2911 | -161 | -1185 | 2911
78A  | 7CC5 | 0111_1100_1100_0101 |    31941 |  197 | -827 | 31941
78B  | 7F7A | 0111_1111_0111_1010 |    32634 | -134 | -134 | 32634
78C  | 7887 | 0111_1000_1000_0111 |    30855 |  135 | -1913 | 30855
78D  | 0826 | 0000_1000_0010_0110 |     2086 |   38 | -2010 | 2086
